,project_id,uid,date,income
89,45741,1706440161,2022-11-16T00:00:00.000Z,0.06
90,45741,1714073899,2022-11-16T00:00:00.000Z,0.0
91,45741,1725259597,2022-12-10T00:00:00.000Z,0.0
92,45742,1490584733,2022-12-23T00:00:00.000Z,0.7
93,46336,1714073899,2022-12-07T00:00:00.000Z,0.04
94,46352,1714073899,2022-11-30T00:00:00.000Z,0.04
95,46418,1648608319,2022-11-05T00:00:00.000Z,0.06
96,46430,1458049517,2022-11-29T00:00:00.000Z,0.04
97,46454,1430094402,2022-10-24T00:00:00.000Z,0.04
98,46454,1458049517,2022-12-20T00:00:00.000Z,0.04
99,47119,1316040758,2022-12-08T00:00:00.000Z,0.064
100,47119,1429235843,2023-01-01T00:00:00.000Z,0.0
101,47119,1458049517,2022-12-01T00:00:00.000Z,0.0
102,47119,1490584733,2022-12-28T00:00:00.000Z,0.064
103,47119,1648608319,2022-12-02T00:00:00.000Z,0.0
104,47119,1675921760,2023-01-19T00:00:00.000Z,0.384
105,47119,1706440161,2022-12-02T00:00:00.000Z,0.0
106,47119,1714073899,2022-12-08T00:00:00.000Z,0.064
107,47631,1706440161,2022-11-16T00:00:00.000Z,0.2
108,49171,1490584733,2022-12-15T00:00:00.000Z,1.77
109,49171,1675921760,2022-10-21T00:00:00.000Z,0.67
110,49171,1706440161,2022-11-16T00:00:00.000Z,0.0
111,49171,1714073899,2022-11-16T00:00:00.000Z,0.6
112,49390,1490584733,2022-12-29T00:00:00.000Z,0.12
113,49390,1675921760,2023-01-03T00:00:00.000Z,0.04
114,49390,1703905621,2022-11-08T00:00:00.000Z,0.12
115,49820,1648608319,2022-12-03T00:00:00.000Z,0.0
116,49820,1706440161,2022-11-30T00:00:00.000Z,0.0
117,49820,1714073899,2022-11-23T00:00:00.000Z,0.0
118,50189,1490584733,2022-11-07T00:00:00.000Z,0.03
119,50601,1703905621,2022-10-24T00:00:00.000Z,0.0
120,50751,1674749132,2022-11-19T00:00:00.000Z,0.0
121,50751,1699065816,2022-10-11T00:00:00.000Z,0.0
122,50751,1703905621,2022-10-23T00:00:00.000Z,0.0
123,50751,1706440161,2022-10-30T00:00:00.000Z,0.0
124,50751,1709755371,2022-11-16T00:00:00.000Z,0.0
125,50751,1710096477,2022-11-08T00:00:00.000Z,0.0
126,50751,1713698815,2022-11-14T00:00:00.000Z,0.0
127,50751,1714073899,2022-11-15T00:00:00.000Z,0.0
128,50751,1716528528,2022-11-21T00:00:00.000Z,0.0
129,50751,1718146027,2022-11-24T00:00:00.000Z,0.0
130,50751,1718416044,2022-11-25T00:00:00.000Z,0.0
131,50751,1725201772,2022-12-09T00:00:00.000Z,0.0
132,50751,1725259597,2022-12-08T00:00:00.000Z,0.0
133,50752,1458049517,2022-12-19T00:00:00.000Z,0.0
134,50752,1703905621,2022-10-24T00:00:00.000Z,0.0
135,51066,1490584733,2022-12-24T00:00:00.000Z,0.005
136,51067,1490584733,2022-11-08T00:00:00.000Z,0.083
137,51403,1703905621,2022-10-24T00:00:00.000Z,0.0
138,51403,1714073899,2022-11-22T00:00:00.000Z,0.0
139,51405,1675921760,2022-10-04T00:00:00.000Z,0.0
140,52373,1648608319,2022-12-02T00:00:00.000Z,0.0
141,52373,1714073899,2022-11-26T00:00:00.000Z,0.05
142,52662,1430094402,2022-10-11T00:00:00.000Z,0.04
143,54170,1706440161,2022-11-03T00:00:00.000Z,0.0
144,54170,1714073899,2022-11-27T00:00:00.000Z,0.0
145,54316,1648608319,2022-12-02T00:00:00.000Z,0.0
146,54555,1490584733,2022-12-15T00:00:00.000Z,1.4
147,54555,1714073899,2022-11-16T00:00:00.000Z,0.35
148,55041,1703905621,2022-11-17T00:00:00.000Z,0.06
149,57293,1430094402,2022-10-19T00:00:00.000Z,0.01
150,57293,1490584733,2022-12-04T00:00:00.000Z,0.12
151,57293,1675921760,2022-10-22T00:00:00.000Z,0.12
152,57293,1703905621,2022-12-03T00:00:00.000Z,0.01
153,58021,1430094402,2022-10-27T00:00:00.000Z,0.1
154,58021,1675921760,2022-11-29T00:00:00.000Z,0.3
155,58021,1706440161,2022-11-17T00:00:00.000Z,0.3
156,58021,1714073899,2022-11-27T00:00:00.000Z,0.0
157,58130,1714073899,2022-11-23T00:00:00.000Z,0.04
158,58184,1490584733,2022-12-20T00:00:00.000Z,0.0
159,58807,1648608319,2022-12-03T00:00:00.000Z,0.02
160,58854,1648608319,2022-11-28T00:00:00.000Z,0.0
161,59047,1316040758,2022-12-01T00:00:00.000Z,0.02
162,59047,1429235843,2023-01-03T00:00:00.000Z,0.02
163,59047,1430094402,2022-10-26T00:00:00.000Z,0.02
164,59047,1458049517,2022-12-29T00:00:00.000Z,0.015
165,59047,1648608319,2022-11-26T00:00:00.000Z,0.01
166,59047,1674749132,2022-12-13T00:00:00.000Z,0.01
167,59047,1675921760,2022-11-21T00:00:00.000Z,0.01
168,59047,1706440161,2022-11-29T00:00:00.000Z,0.04
169,59047,1714073899,2022-11-30T00:00:00.000Z,0.02
170,59047,1725201772,2022-12-09T00:00:00.000Z,0.01
171,59216,1706440161,2022-11-01T00:00:00.000Z,0.0
172,59216,1710096477,2022-11-24T00:00:00.000Z,0.0
173,59216,1718416044,2022-11-25T00:00:00.000Z,0.0
174,59396,1648608319,2022-11-23T00:00:00.000Z,0.0
175,59440,1714073899,2022-11-27T00:00:00.000Z,0.05
176,60028,1706440161,2022-12-01T00:00:00.000Z,0.0
177,62390,1429235843,2022-11-23T00:00:00.000Z,0.04
178,62390,1458049517,2022-12-20T00:00:00.000Z,0.08
179,62390,1674749132,2022-12-02T00:00:00.000Z,0.08
180,62390,1714073899,2022-11-22T00:00:00.000Z,0.04
181,62432,1714073899,2022-11-29T00:00:00.000Z,0.0
182,62518,1699065816,2022-10-11T00:00:00.000Z,0.0
183,62518,1703905621,2022-10-24T00:00:00.000Z,0.0
184,62518,1725201772,2022-12-08T00:00:00.000Z,0.0
185,63777,1430094402,2022-10-19T00:00:00.000Z,0.02
186,63777,1490584733,2022-12-12T00:00:00.000Z,0.02
187,63777,1648608319,2022-12-08T00:00:00.000Z,0.02
188,63777,1675921760,2022-12-07T00:00:00.000Z,0.02
189,63777,1703905621,2022-12-08T00:00:00.000Z,0.02
190,63777,1706440161,2022-11-04T00:00:00.000Z,0.05
191,63777,1714073899,2022-12-08T00:00:00.000Z,0.02
192,63928,1430094402,2022-10-31T00:00:00.000Z,1.65
193,64023,1703905621,2022-11-11T00:00:00.000Z,7.95
194,64273,1714073899,2022-12-08T00:00:00.000Z,0.0
195,64650,1706440161,2022-11-03T00:00:00.000Z,0.24
196,64650,1710096477,2022-11-29T00:00:00.000Z,0.24
197,66337,1706440161,2022-11-01T00:00:00.000Z,0.02
198,66337,1710096477,2022-11-10T00:00:00.000Z,0.02
199,67270,1648608319,2022-11-28T00:00:00.000Z,0.0
200,68140,1648608319,2022-11-21T00:00:00.000Z,0.0
201,68140,1703905621,2022-11-23T00:00:00.000Z,0.045
202,68140,1714073899,2022-11-23T00:00:00.000Z,0.0
203,68840,1714073899,2022-11-27T00:00:00.000Z,0.19
204,69136,1648608319,2022-12-03T00:00:00.000Z,0.0
205,69269,1706440161,2022-11-14T00:00:00.000Z,0.05
206,69269,1718416044,2022-11-26T00:00:00.000Z,0.1
207,70226,1703905621,2022-10-28T00:00:00.000Z,0.02
208,70767,1648608319,2022-12-03T00:00:00.000Z,0.0
209,70767,1714073899,2022-11-19T00:00:00.000Z,0.0
210,70767,1718416044,2022-11-25T00:00:00.000Z,0.0
211,70800,1674749132,2022-12-02T00:00:00.000Z,0.0
212,70800,1675921760,2022-10-09T00:00:00.000Z,0.0
213,70800,1684019585,2022-12-06T00:00:00.000Z,0.0
214,70800,1714073899,2022-11-19T00:00:00.000Z,0.0
215,70800,1718416044,2022-11-25T00:00:00.000Z,0.0
216,70803,1706440161,2022-11-08T00:00:00.000Z,0.0
217,70804,1706440161,2022-11-08T00:00:00.000Z,0.3
218,70834,1674749132,2022-12-05T00:00:00.000Z,0.0
219,70834,1684019585,2022-12-06T00:00:00.000Z,0.0
220,70834,1706440161,2022-11-16T00:00:00.000Z,0.0
221,70834,1714073899,2022-11-16T00:00:00.000Z,0.0
222,70834,1718416044,2022-11-26T00:00:00.000Z,0.0
223,70837,1675921760,2023-01-13T00:00:00.000Z,0.0
224,70838,1675921760,2022-11-10T00:00:00.000Z,0.0
225,70838,1706440161,2022-11-04T00:00:00.000Z,0.0
226,70838,1714073899,2022-11-17T00:00:00.000Z,0.0
227,71859,1490584733,2022-12-13T00:00:00.000Z,0.08
228,71859,1684019585,2022-12-08T00:00:00.000Z,0.0
229,71992,1714073899,2022-11-25T00:00:00.000Z,0.0
230,72288,1675921760,2022-11-05T00:00:00.000Z,0.1
231,72312,1430094402,2022-10-18T00:00:00.000Z,0.03
232,72312,1703905621,2022-10-29T00:00:00.000Z,0.0
233,72312,1714073899,2022-11-23T00:00:00.000Z,0.0
234,72322,1316040758,2022-11-01T00:00:00.000Z,0.0
235,72322,1429235843,2022-11-23T00:00:00.000Z,0.02
236,72322,1490584733,2022-12-30T00:00:00.000Z,0.0
237,72322,1675921760,2022-10-28T00:00:00.000Z,0.0
238,72322,1684019585,2022-12-09T00:00:00.000Z,0.0
239,72322,1703905621,2022-11-20T00:00:00.000Z,0.0
240,72322,1706440161,2022-11-11T00:00:00.000Z,0.0
241,72322,1718146027,2022-11-29T00:00:00.000Z,0.0
242,72496,1675921760,2022-10-11T00:00:00.000Z,0.2
243,72630,1648608319,2022-12-06T00:00:00.000Z,0.06
244,72870,1648608319,2022-10-09T00:00:00.000Z,0.0
